	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
645	Token	54	Well	boston hip hop	0.131	0.752	182800	0.732	0.0186	0.0947	-7.14	0	0.34299999999999997	129.82299999999998	4	0.24
646	Token	53	Somewhere In Between	boston hip hop	0.231	0.45299999999999996	276016	0.741	1.07e-06	0.345	-7.223	1	0.439	78.774	4	0.168
647	Token	53	Somewhere In Between	boston hip hop	0.231	0.45299999999999996	276016	0.741	1.07e-06	0.345	-7.223	1	0.439	78.774	4	0.168
648	Token	50	Goodbye!! (Bonus Track)	boston hip hop	0.23399999999999999	0.535	136289	0.785	6.49e-05	0.47	-6.492000000000001	1	0.302	162.071	4	0.22899999999999998
649	Token	50	Goodbye!! (Bonus Track)	boston hip hop	0.23399999999999999	0.535	136289	0.785	6.49e-05	0.47	-6.492000000000001	1	0.302	162.071	4	0.22899999999999998
650	The Internet	61	Come Over	alternative r&b, escape room, indie r&b, lgbtq+ hip hop	0.0968	0.529	321853	0.598	0.171	0.18899999999999997	-7.9510000000000005	1	0.187	92.01	4	0.691
651	The Internet	54	It Gets Better (With Time)	alternative r&b, escape room, indie r&b, lgbtq+ hip hop	0.687	0.484	326533	0.375	3.289999999999999e-05	0.105	-8.957	1	0.364	83.99700000000001	4	0.514
652	The Internet	51	Next Time / Humble Pie	alternative r&b, escape room, indie r&b, lgbtq+ hip hop	0.574	0.45	340800	0.616	0.46399999999999997	0.12	-8.675	1	0.0846	154.036	4	0.84
654	Mariah Carey	63	The Distance (feat. Ty Dolla $ign)	dance pop, pop, r&b, urban contemporary	0.07	0.701	207587	0.691	0.0	0.8440000000000001	-5.937	1	0.0808	131.843	4	0.5870000000000001
655	Mariah Carey	60	Stay Long Love You (feat. Gunna)	dance pop, pop, r&b, urban contemporary	0.087	0.612	181640	0.638	0.0	0.0737	-6.234	0	0.121	173.926	4	0.816
656	Mariah Carey	59	Portrait	dance pop, pop, r&b, urban contemporary	0.848	0.54	241227	0.265	0.0	0.0606	-8.802999999999999	0	0.0324	119.689	4	0.349
657	Mariah Carey	63	All I Want for Christmas Is You	dance pop, pop, r&b, urban contemporary	0.141	0.514	241507	0.637	0.0	0.0646	-7.446000000000001	1	0.0361	149.994	4	0.34700000000000003
658	Francesca Battistelli	59	Defender	anthem worship, ccm, christian alternative rock, christian music, christian rock, worship	0.21899999999999997	0.345	424373	0.377	5.51e-06	0.0549	-7.715	1	0.0292	139.798	4	0.0767
659	Shallou	56	You and Me	electropop, indie poptimism, tropical house, vapor soul	0.26	0.642	234228	0.551	0.147	0.115	-8.411	0	0.13	113.079	4	0.145
660	Shallou	56	You and Me	electropop, indie poptimism, tropical house, vapor soul	0.26	0.642	234228	0.551	0.147	0.115	-8.411	0	0.13	113.079	4	0.145
661	Shallou	48	Sigh	electropop, indie poptimism, tropical house, vapor soul	0.491	0.51	221033	0.526	0.429	0.076	-10.458	1	0.0349	105.01100000000001	4	0.0383
662	Shallou	48	Sigh	electropop, indie poptimism, tropical house, vapor soul	0.491	0.51	221033	0.526	0.429	0.076	-10.458	1	0.0349	105.01100000000001	4	0.0383
